res_id,res_text,res_short_descr,res_long_descr,res_url,res_stage,res_wp
R01,Consortium tool and Cohort inventory,Build consortium & cohort inventory,Tool to initiate a consortium by identifying international research groups with the required capacities to tackle an emerging outbreak.,https://contagio.shinyapps.io/StarterDashboard/,Stage 1 - Explore,WP1
R02,EMBL Pathogens Portal,Discovery of existing data and samples,Portal for discovering existing pathogen data and biological samples across international repositories.,https://www.pathogensportal.org/,Stage 1 - Explore,WP1
R03,Standardized ethics/legal application protocols,Ethics & governance application protocols,Standardized protocols for ethics and legal applications to reduce delays in study set-up caused by lengthy legal drafting.,,Stage 2 - Study Set-Up,WP3
R04,Broad Consent models for future use,Broad consent templates,Template consent models designed to cover future uses of collected data and samples under a broad consent framework.,,Stage 2 - Study Set-Up,WP3
R05,Data Transfer/Processing Agreement (DTA/DPA) templates,DTA/DPA templates,Standardized templates for Data Transfer Agreements and Data Processing Agreements to facilitate legal data sharing between institutions.,,Stage 2 - Study Set-Up,WP3
R06,Templates for standardized sample collection and metadata,Sample collection & metadata templates,Standardized tools for multimodal data collection to ensure information is harmonized across different research sites.,,Stage 3 - Collecting,WP4
R07,Novel Bayesian guidance tool for addressing diagnostic measurement errors,Bayesian diagnostic measurement tool,A novel Bayesian biostatistical guidance tool to ensure diagnostic data is accurate, interpretable, and generalizable across different tests.,,Stage 4 - Diagnostic Testing/Analysis,WP2
R08,Diagnostic algorithm for coordinated implementation,Diagnostic algorithm,Diagnostic algorithm supporting coordinated implementation of standardized testing across consortium sites.,,Stage 4 - Diagnostic Testing/Analysis,WP4
R09,Data Access Committee (DAC) roadmap,DAC governance roadmap,Roadmap document guiding the establishment and operation of a Data Access Committee for governing data sharing within the consortium.,,Stage 5 - Sharing,WP3
R10,Virtual Biorepository System (VBS) governance and sample sharing policies,VBS governance & sharing policies,Governance framework and policies for a Virtual Biorepository System facilitating the flow of physical samples and digital data amongst research partners through transparent access policies.,,Stage 5 - Sharing,WP4
R11,e-CRF builder,Web application for the creation of Clinical Report Forms (CRFs),e-CRF builder,https://bridge.isaric.org/main,Stage 3 - Collecting,WP2
R12,Language Integration Network Kit (LINK),Validate machine translations of e-CRFs,All e-CRFs are automatically machine-translated into Spanish, Portuguese, and French. LINK lets bilingual volunteers review and edit these translations.,https://link-mgea.vercel.app/,Stage 3 - Collecting,WP2
